GISJOIN,SDUNI,pov_fam_5_17,nonpov_fam_5_17,tot_fam_5_17,Percent_Pov_Fam5_17
G36023190,Plainedge Union Free School District,124,1888,2012,0.061630219
G36023220,Plainview-Old Bethpage Central School District,126,3061,3187,0.039535612
G36023280,Plattsburgh City School District,373,1066,1439,0.25920779
G36023310,Pleasantville Union Free School District,0,986,986,0
G36023340,Pocantico Hills Central School District,7,322,329,0.021276595
G36023370,Poland Central School District,50,378,428,0.11682243
G36023430,Port Byron Central School District,98,491,589,0.1663837
G36023460,Port Chester-Rye Union Free School District,616,2659,3275,0.18809161
G36023490,Port Jefferson Union Free School District,28,751,779,0.035943516
G36023520,Port Jervis City School District,253,1244,1497,0.16900468
G36023580,Port Washington Union Free School District,165,3196,3361,0.049092531
G36023640,Portville Central School District,42,390,432,0.097222224
G36023670,Potsdam Central School District,143,870,1013,0.14116485
G36023760,Poughkeepsie City School District,905,1896,2801,0.3230989
G36023790,Prattsburgh Central School District,21,257,278,0.075539567
G36023880,Pulaski Central School District,71,485,556,0.12769784
G36023970,Putnam Central School District,21,71,92,0.22826087
G36024000,Putnam Valley Central School District,226,1204,1430,0.15804195
G36024030,Queensbury Union Free School District,264,1947,2211,0.11940298
G36024060,Quogue Union Free School District,0,68,68,0
G36024090,Randolph Central School District,137,436,573,0.2390925
G36024120,Raquette Lake Union Free School District,0,0,0,
G36024150,Ravena-Coeymans-Selkirk Central School District,107,1119,1226,0.087275691
G36024210,Red Creek Central School District,103,459,562,0.18327402
G36024240,Red Hook Central School District,46,1246,1292,0.035603717
G36024270,Manchester-Shortsville Central School District,97,403,500,0.19400001
G36024360,Remsen Central School District,34,203,237,0.14345992
G36024420,Remsenburg-Speonk Union Free School District,0,107,107,0
G36024450,Rensselaer City School District,268,521,789,0.33967048
G36024480,Rhinebeck Central School District,140,693,833,0.16806723
G36024570,Richfield Springs Central School District,69,346,415,0.16626506
G36024630,Blind Brook-Rye Union Free School District,15,843,858,0.017482517
G36024660,Ripley Central School District,60,113,173,0.3468208
G36024690,Riverhead Central School District,378,2586,2964,0.12753037
G36024750,Rochester City School District,9206,10155,19361,0.47549197
G36024780,Rockville Centre Union Free School District,187,2235,2422,0.077208921
G36024840,Rocky Point Union Free School District,125,1955,2080,0.060096152
G36024900,Rome City School District,590,2557,3147,0.18748014
G36024930,Romulus Central School District,12,227,239,0.050209206
G36024960,Rondout Valley Central School District,218,1225,1443,0.15107416
G36024990,Roosevelt Union Free School District,462,1573,2035,0.22702703
G36025020,Roscoe Central School District,26,167,193,0.13471502
G36025050,Roslyn Union Free School District,204,1983,2187,0.09327846
G36025110,Roxbury Central School District,49,236,285,0.17192982
G36025140,Royalton-Hartland Central School District,79,822,901,0.087680355
G36025170,Rush-Henrietta Central School District,533,3445,3978,0.13398694
G36025260,Rye City School District,56,1839,1895,0.029551452
G36025290,Rye Neck Union Free School District,0,1037,1037,0
G36025320,Florida Union Free School District,32,460,492,0.065040648
G36025350,Sachem Central School District,495,8362,8857,0.055887997
G36025380,Sag Harbor Union Free School District,142,533,675,0.21037038
G36025410,Sagaponack Common School District,0,27,27,0
G36025440,Salamanca City School District,240,533,773,0.31047866
G36025470,Salem Central School District,75,269,344,0.21802326
G36025500,Salmon River Central School District,241,577,818,0.29462102
G36025650,Sandy Creek Central School District,113,417,530,0.21320754
G36025740,Saranac Lake Central School District,157,828,985,0.15939087
G36025770,Saratoga Springs City School District,321,3785,4106,0.078178279
G36025800,Saugerties Central School District,116,1753,1869,0.062065277
G36025920,Sayville Union Free School District,42,1931,1973,0.02128738
G36025950,Scarsdale Union Free School District,57,2695,2752,0.02071221
G36025980,Schalmont Central School District,101,1067,1168,0.086472601
G36026010,Schenectady City School District,1543,3100,4643,0.33232823
G36026070,Schodack Central School District,0,592,592,0
G36026100,Schoharie Central School District,90,428,518,0.17374517
G36026130,Schroon Lake Central School District,11,60,71,0.15492958
G36026160,Schuylerville Central School District,62,985,1047,0.059216809
G36026190,Scio Central School District,29,152,181,0.160221
G36026310,Scotia-Glenville Central School District,50,1430,1480,0.033783782
G36026370,North Shore Central School District,42,1604,1646,0.025516404
G36026400,Seaford Union Free School District,96,1558,1654,0.058041111
G36026430,Seneca Falls Central School District,75,725,800,0.09375
G36026580,Sharon Springs Central School District,114,151,265,0.43018869
G36026640,Shelter Island Union Free School District,0,246,246,0
G36026670,Shenendehowa Central School District,458,5957,6415,0.071395166
G36026700,Sherburne-Earlville Central School District,158,731,889,0.17772779
G36026730,Sherman Central School District,52,201,253,0.20553359
G36026760,Sherrill City School District,112,1106,1218,0.091954023
G36026840,Shoreham-Wading River Central School District,48,1040,1088,0.044117648
G36026850,Sidney Central School District,94,623,717,0.13110182
G36026880,Silver Creek Central School District,149,462,611,0.24386252
G36026940,Skaneateles Central School District,22,841,863,0.025492469
G36027000,Cheektowaga-Sloan Union Free School District,155,818,973,0.15930113
G36027060,Smithtown Central School District,294,5984,6278,0.0468302
G36027120,Sodus Central School District,198,480,678,0.2920354
G36027150,Solvay Union Free School District,124,596,720,0.17222223
G36027180,Somers Central School District,13,2084,2097,0.006199332
G36027210,South Colonie Central School District,267,2845,3112,0.085796915
G36027240,South Glens Falls Central School District,131,2027,2158,0.060704354
G36027300,South Huntington Union Free School District,400,3632,4032,0.099206351
G36027330,South Kortright Central School District,43,123,166,0.25903615
G36027360,South Lewis Central School District,190,537,727,0.26134801
G36027450,South Orangetown Central School District,105,2103,2208,0.047554348
G36027540,Southampton Union Free School District,114,690,804,0.14179105
G36027570,Southern Cayuga Central School District,105,430,535,0.19626169
G36027620,Southold Union Free School District,61,446,507,0.12031558
G36027660,Southwestern Central School District at Jamestown,148,736,884,0.16742082
G36027750,Spencer-Van Etten Central School District,91,490,581,0.15662651
G36027780,Spencerport Central School District,277,2442,2719,0.10187569
G36027810,East Ramapo Central School District (Spring Valley),2177,8428,10605,0.20528053
G36027900,Springs Union Free School District,66,471,537,0.12290503
G36027960,Brasher Falls Central School District,59,348,407,0.14496315
G36027990,Saint Regis Falls Central School District,75,160,235,0.31914893
G36028020,Stamford Central School District,44,207,251,0.17529881
G36028050,Starpoint Central School District,78,1735,1813,0.043022614
G36028110,Stillwater Central School District,98,727,825,0.11878788
G36028140,Stockbridge Valley Central School District,36,202,238,0.15126051
G36028200,Three Village Central School District,234,3986,4220,0.055450238
G36028320,Ramapo Central School District (Suffern),187,2899,3086,0.060596243
G36028380,Susquehanna Valley Central School District,129,954,1083,0.11911357
G36028500,Sweet Home Central School District,402,2073,2475,0.16242424
G36028560,Syosset Central School District,203,3817,4020,0.050497513
G36028590,Syracuse City School District,5051,6772,11823,0.42721814
G36028620,Taconic Hills Central School District,190,792,982,0.19348268
G36028650,Union Free School District of the Tarrytowns,226,1672,1898,0.11907271
G36028680,Ticonderoga Central School District,126,422,548,0.229927
G36028710,Tioga Central School District,116,570,686,0.16909622
G36028740,Tonawanda City School District,180,1156,1336,0.13473053
G36028800,Town of Webb Union Free School District,0,92,92,0
G36028890,Tri-Valley Central School District,128,530,658,0.19452888
G36028950,Troy City School District,963,1664,2627,0.36657783
G36028980,Trumansburg Central School District,115,637,752,0.15292554
G36029040,Tuckahoe Union Free School District,42,719,761,0.055190537
G36029070,Tuckahoe Common School District,0,325,325,0
G36029130,Tully Central School District,79,646,725,0.10896552
G36029160,Tupper Lake Central School District,50,535,585,0.085470088
G36029190,Tuxedo Union Free School District,5,291,296,0.016891891
G36029240,Otego-Unadilla Central School District,91,477,568,0.16021127
G36029250,Union Springs Central School District,65,548,613,0.10603589
G36029280,Uniondale Union Free School District,323,3353,3676,0.087867245
G36029370,Utica City School District,2640,3455,6095,0.43314192
G36029400,Valhalla Union Free School District,52,1022,1074,0.048417132
G36029610,Vestal Central School District,211,2015,2226,0.094788857
G36029640,Victor Central School District,159,2551,2710,0.058671586
G36029670,Voorheesville Central School District,12,614,626,0.019169329
G36029760,Wainscott Common School District,19,14,33,0.57575756
G36029790,Wallkill Central School District,241,1799,2040,0.11813726
G36029820,Walton Central School District,212,394,606,0.34983498
G36029850,Wantagh Union Free School District,36,1919,1955,0.018414322
G36029880,Wappingers Central School District,549,7324,7873,0.069731995
G36029910,Warrensburg Central School District,65,419,484,0.13429752
G36029940,Warsaw Central School District,166,442,608,0.27302632
G36029970,Warwick Valley Central School District,126,2245,2371,0.053142134
G36030030,Washingtonville Central School District,230,2235,2465,0.093306288
G36030060,Waterford-Halfmoon Union Free School District,121,309,430,0.28139535
G36030120,Watertown City School District,673,1943,2616,0.257263
G36030160,Waterville Central School District,51,431,482,0.10580913
G36030210,Watervliet City School District,221,786,1007,0.21946375
G36030240,Watkins Glen Central School District,48,536,584,0.08219178
G36030270,Waverly Central School District,110,733,843,0.13048635
G36030330,Wayne Central School District,99,1406,1505,0.065780729
G36030360,Webster Central School District,358,5169,5527,0.064772934
G36030390,Northeast Central School District,3,568,571,0.00525394
G36030420,Weedsport Central School District,35,492,527,0.066413663
G36030450,Wells Central School District,10,48,58,0.1724138
G36030480,Wellsville Central School District,182,624,806,0.22580644
G36030540,West Babylon Union Free School District,278,2482,2760,0.10072464
G36030600,West Canada Valley Central School District,54,443,497,0.10865191
G36030630,West Genesee Central School District,118,3078,3196,0.036921151
G36030660,West Hempstead Union Free School District,170,1661,1831,0.09284544
G36030690,West Islip Union Free School District,166,2702,2868,0.057880055
G36030780,West Seneca Central School District,376,4349,4725,0.079576723
G36030900,West Valley Central School District,16,177,193,0.082901552
G36030930,Mount Markham Central School District,90,539,629,0.14308426
G36030960,Westbury Union Free School District,458,2277,2735,0.16745886
G36030990,Westfield Central School District,89,363,452,0.19690265
G36031020,Westhampton Beach Union Free School District,6,407,413,0.014527845
G36031050,Westmoreland Central School District,48,605,653,0.073506892
G36031080,Westport Central School District,12,92,104,0.11538462
G36031170,Wheatland-Chili Central School District,81,471,552,0.14673913
G36031200,Wheelerville Union Free School District,0,87,87,0
G36031260,White Plains City School District,813,4399,5212,0.15598619
G36031290,Whitehall Central School District,180,338,518,0.34749034
G36031320,Whitesboro Central School District,98,2170,2268,0.043209877
G36031350,Whitesville Central School District,18,91,109,0.16513762
G36031380,Whitney Point Central School District,134,680,814,0.16461916
G36031410,North Greenbush Common School District (Williams),17,75,92,0.18478261
G36031440,Williamson Central School District,79,459,538,0.14684016
G36031470,Williamsville Central School District,321,6981,7302,0.04396056
G36031500,Willsboro Central School District,7,153,160,0.043749999
G36031560,Wilson Central School District,115,655,770,0.14935064
G36031590,Windham-Ashland-Jewett Central School District,10,173,183,0.054644808
G36031710,Hewlett-Woodmere Union Free School District,110,1892,2002,0.054945055
G36031740,Worcester Central School District,78,208,286,0.27272728
G36031800,Wyandanch Union Free School District,222,888,1110,0.2
G36031830,Wynantskill Union Free School District,0,304,304,0
G36031860,Wyoming Central School District,25,146,171,0.14619882
G36031920,Yonkers City School District,4007,14613,18620,0.21519871
G36031950,York Central School District,57,551,608,0.09375
G36031980,Yorktown Central School District,12,2220,2232,0.005376344
G36032010,Cuba-Rushford Central School District,68,404,472,0.14406779
G36099999,Remainder of New York,1909,23837,25746,0.07414744
