GISJOIN,STATEFP,COUNTYFP,TRACTCE,pov_fam_5_17,nonpov_fam_5_17,tot_fam_5_17,Percent_Pov_Fam5_17
G3600050011800,36,5,11800,43,313,356,0.12078652
G3600050011900,36,5,11900,258,424,682,0.37829912
G3600050012101,36,5,12101,190,176,366,0.5191257
G3600050012102,36,5,12102,149,96,245,0.60816324
G3600050012300,36,5,12300,294,312,606,0.48514852
G3600050012500,36,5,12500,287,252,539,0.53246754
G3600050012701,36,5,12701,168,104,272,0.61764705
G3600050012901,36,5,12901,254,318,572,0.44405594
G3600050013000,36,5,13000,7,101,108,0.064814813
G3600050013100,36,5,13100,225,399,624,0.36057693
G3600050013200,36,5,13200,78,589,667,0.11694153
G3600050013300,36,5,13300,179,477,656,0.27286586
G3600050013500,36,5,13500,307,258,565,0.54336286
G3600050013800,36,5,13800,0,152,152,0
G3600050014100,36,5,14100,214,472,686,0.31195337
G3600050014300,36,5,14300,68,50,118,0.57627118
G3600050014400,36,5,14400,287,428,715,0.4013986
G3600050014500,36,5,14500,720,382,1102,0.65335751
G3600050014701,36,5,14701,667,327,994,0.67102617
G3600050014702,36,5,14702,416,152,568,0.73239434
G3600050014900,36,5,14900,240,204,444,0.54054052
G3600050015100,36,5,15100,304,457,761,0.39947438
G3600050015200,36,5,15200,43,247,290,0.14827587
G3600050015300,36,5,15300,460,216,676,0.68047339
G3600050015500,36,5,15500,266,155,421,0.63182896
G3600050015700,36,5,15700,200,196,396,0.50505048
G3600050015800,36,5,15800,26,141,167,0.15568863
G3600050015900,36,5,15900,103,62,165,0.62424242
G3600050016000,36,5,16000,0,407,407,0
G3600050016100,36,5,16100,367,292,659,0.55690438
G3600050016200,36,5,16200,33,158,191,0.17277487
G3600050016300,36,5,16300,0,0,0,-99
G3600050016400,36,5,16400,20,40,60,0.33333334
G3600050016500,36,5,16500,67,48,115,0.5826087
G3600050016600,36,5,16600,41,240,281,0.14590748
G3600050016700,36,5,16700,156,228,384,0.40625
G3600050016900,36,5,16900,27,104,131,0.20610687
G3600050017100,36,5,17100,0,0,0,-99
G3600050017300,36,5,17300,258,571,829,0.31121832
G3600050017500,36,5,17500,506,406,912,0.55482459
G3600050017701,36,5,17701,477,246,723,0.65975106
G3600050017702,36,5,17702,315,366,681,0.46255508
G3600050017901,36,5,17901,420,126,546,0.76923078
G3600050017902,36,5,17902,145,269,414,0.35024154
G3600050018101,36,5,18101,231,156,387,0.59689921
G3600050018102,36,5,18102,230,252,482,0.47717842
G3600050018301,36,5,18301,89,297,386,0.23056994
G3600050018302,36,5,18302,231,218,449,0.5144766
G3600050018400,36,5,18400,70,252,322,0.2173913
G3600050018500,36,5,18500,396,545,941,0.42082891
G3600050018900,36,5,18900,589,641,1230,0.47886178
G3600050019300,36,5,19300,394,337,731,0.5389877
G3600050019400,36,5,19400,33,163,196,0.16836734
G3600050019500,36,5,19500,361,614,975,0.37025642
G3600050019700,36,5,19700,437,491,928,0.47090518
G3600050019900,36,5,19900,606,651,1257,0.48210025
G3600050020000,36,5,20000,334,330,664,0.50301206
G3600050020100,36,5,20100,289,248,537,0.53817505
G3600050020200,36,5,20200,94,146,240,0.39166668
G3600050020400,36,5,20400,129,283,412,0.31310681
G3600050020501,36,5,20501,482,652,1134,0.42504409
G3600050020502,36,5,20502,97,162,259,0.37451738
G3600050020601,36,5,20601,33,201,234,0.14102565
G3600050020900,36,5,20900,221,324,545,0.40550458
G3600050021001,36,5,21001,237,715,952,0.24894957
G3600050021002,36,5,21002,53,491,544,0.097426474
G3600050021100,36,5,21100,515,355,870,0.59195405
G3600050021200,36,5,21200,36,492,528,0.06818182
G3600050021301,36,5,21301,106,66,172,0.61627907
G3600050021302,36,5,21302,270,384,654,0.41284403
G3600050021501,36,5,21501,246,392,638,0.38557994
G3600050021502,36,5,21502,471,400,871,0.54075778
G3600050021601,36,5,21601,240,212,452,0.53097343
G3600050021602,36,5,21602,36,499,535,0.067289717
G3600050021700,36,5,21700,407,156,563,0.72291297
G3600050021800,36,5,21800,269,491,760,0.35394737
G3600050021900,36,5,21900,57,60,117,0.48717949
G3600050022000,36,5,22000,178,45,223,0.79820627
G3600050022101,36,5,22101,349,216,565,0.61769909
